Locality_Name,Forest_Type,Number_of_Species,Number_of_Individuals_per_0.5ha,Number_of_Endemic_Species,Number_of_IUCN_Species,Basal_Area_m2_per_ha
Ghatmatha,Moist Deciduous,35,274,8,5,31.43
Ozarade,Evergreen,39,242,11,8,58.23
Ambeghar,Scrub,14,84,2,0,6.76
Navja,Evergreen,37,488,10,6,55.96
Dhokavle–Varhadni,Evergreen,23,389,4,2,43.43
Dicholi,Evergreen,38,462,6,6,52.02
Rohine–Jambhitri,Evergreen,42,496,10,5,33.46
Taldev,Semi-evergreen,32,311,8,5,15.71
Pali,Evergreen,37,544,8,5,36.11
Maldev,Semi-evergreen,38,456,5,4,32.54
Adoshi–Mhalunge,Semi-evergreen,28,251,5,4,23.02
Valvan,Semi-evergreen,29,299,6,5,33.5
