feature,importance
species_richness,0.730635432825312
month,0.23728262776987719
season_enc,0.02835903693834534
lat_grid,0.0023403458163853545
lon_grid,0.0013662168687593053
order_enc,3.7702344306468097e-06
day,3.5794292912482243e-06
year,2.829479399923329e-06
basisOfRecord_enc,1.63018762286468e-06
coordinateUncertaintyInMeters,1.3362110442576385e-06
family_enc,1.0607160962406012e-06
class_enc,7.360004512018309e-07
decade,6.691607966069756e-07
taxonRank_enc,4.454982348558025e-07
phylum_enc,2.82863953136406e-07
