file,type,status,recommendation,has_predict,has_proba,n_features_in,sample_prediction,sample_confidence,error
animals_occurrence_classifier.pkl,classifier,PREDICT_OK,ready,True,True,15,stable,0.541560934911218,
animals_occurrence_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
birds_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
birds_model.pkl,regressor,PREDICT_OK,ready,True,False,8,0.51820969581604,,
birds_occurrence_classifier.pkl,classifier,PREDICT_OK,ready,True,True,13,stable,0.3828821381317805,
birds_occurrence_features.pkl,feature,SKIPPED,helper-artifact,False,False,,,,
birds_occurrence_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
birds_scaler.pkl,scaler,SKIPPED,helper-artifact,False,False,8,,,
feature_names.pkl,feature,SKIPPED,helper-artifact,False,False,,,,
insects_feature_names.pkl,feature,SKIPPED,helper-artifact,False,False,,,,
insects_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
insects_model.pkl,regressor,PREDICT_OK,ready,True,False,8,0.13509900867938995,,
insects_occurrence_classifier.pkl,classifier,PREDICT_OK,ready,True,True,13,stable,0.7067325699547338,
insects_occurrence_features.pkl,feature,SKIPPED,helper-artifact,False,False,,,,
insects_occurrence_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
insects_scaler.pkl,scaler,SKIPPED,helper-artifact,False,False,8,,,
model_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
plants_feature_names.pkl,feature,SKIPPED,helper-artifact,False,False,,,,
plants_kmeans.pkl,clustering,PREDICT_OK,ready,True,False,5,0,,
plants_kmeans_meta.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
plants_kmeans_scaler.pkl,scaler,SKIPPED,helper-artifact,False,False,5,,,
plants_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
plants_model.pkl,regressor,PREDICT_OK,ready,True,False,8,1.4566123485565186,,
plants_occurrence_classifier.pkl,classifier,PREDICT_OK,ready,True,True,14,stable,1.0,
plants_occurrence_features.pkl,feature,SKIPPED,helper-artifact,False,False,,,,
plants_occurrence_metadata.pkl,metadata,SKIPPED,helper-artifact,False,False,,,,
plants_scaler.pkl,scaler,SKIPPED,helper-artifact,False,False,8,,,
scaler.pkl,scaler,SKIPPED,helper-artifact,False,False,12,,,
thumbnail_cache.pkl,helper,SKIPPED,helper-artifact,False,False,,,,
wildlife_model.pkl,regressor,PREDICT_OK,ready,True,False,12,-0.33976760506629944,,
