Feature,Importance
spatial,22.1619674918335
lat_grid,14.981131437955455
spatial_mean,8.774380589404077
month,4.048564051998901
day_year_ratio,3.8685114338275186
lon_grid,3.780670110049683
year_month,2.9113816247757076
year,2.5859378037292466
year_sq,2.4829254470113016
day,2.407850961742343
temporal_mean,1.470926157194353
richness_high,1.1808805199578094
month_sq,1.1081899944079923
species_richness,0.6569462747980894
month_cos,0.5595316235222864
observation_effort,0.4092846962914844
richness_log,0.36983397946447455
species_richness_sq,0.24209654917532702
day_sq,0.07026386654375408
month_sin,0.05728706076473222
day_month,0.04592165249772227
season_month,0.03981570809572329
decade,0.03433030306376833
richness_order,0.030444958080448423
family_richness_grid,0.025470636186793467
order_family,0.021031246937606125
uncertainty_high,0.018284917299557224
basisOfRecord_enc,0.018060482118872567
order_enc,0.014587479705133636
weekend_flag,0.014051422837985428
taxonRank_enc,0.011587486676043764
category_mean,0.010988263084773695
family_enc,0.010821596808205082
season_richness_interaction,0.009432938923856847
uncertainty_bucket,0.008809552525238464
family_order_ratio,0.004553931666663869
richness_family,0.0035565901908055377
season_enc,0.0030815332145435886
rich_uncertainty_ratio,0.0021155748166692503
spatial_uncertainty,0.0016617404230254472
coordinateUncertaintyInMeters,0.0016343026426928965
uncertainty_inv,0.00042441065981893827
uncertainty_log,0.000387846006685853
